,BlockAddress,City,Complaint_ID,CrimeDescription,CrimeStatus,Crime_ID,District,Latitude,LevelofOffense,Longitude,NumOfActors,NumOfVictims,Premises,ReportDate,State,Timestamp
7807,Loti,Dera Bugti,19553.0,Theft,COMPLETED,,Panjgur District,28.9552439735,MISDEMEANOR,69.3648009058,5,7,SUPERMARKET/ STORE,01/05/2014,Balochistan,2014-01-05 12:30:00
7808,Baramdi,Dera Bugti,65971.0,Assault,COMPLETED,,Panjgur District,29.3490520848,VIOLATION,69.6454212285,7,2,RESIDENCE,06/24/2015,Balochistan,2015-06-01 12:00:00
7809,Asreli Chauki,Dera Bugti,8235.0,Theft,COMPLETED,,Gwadar District,28.6173525537,FELONY,69.0103462058,5,2,STREET,04/03/2015,Balochistan,2015-04-03 05:40:00
7810,Bangzila,Dera Bugti,25682.0,Robbery,COMPLETED,,Mand District,29.0759948467,FELONY,68.8538273452,2,2,STREET,03/29/2015,Balochistan,2015-03-29 21:15:00
7811,Sui,Dera Bugti,53474.0,Assault,COMPLETED,,Kech District,28.6371547755,VIOLATION,69.198725498,3,5,RESIDENCE,06/25/2014,Balochistan,2014-06-25 08:05:00
7812,Baramdi,Dera Bugti,16284.0,Terrorism,COMPLETED,,Panjgur District,29.3498472715,MISDEMEANOR,69.6389453522,7,2,RESTAURANT/DINER,07/13/2015,Balochistan,2015-07-13 01:20:00
7813,Loti,Dera Bugti,28885.0,Mugging,COMPLETED,,Panjgur District,28.9482048902,MISDEMEANOR,69.3675830459,4,2,STREET,05/19/2015,Balochistan,2015-05-19 21:00:00
7814,Heran Chauki,Dera Bugti,66970.0,Assault,COMPLETED,,Gwadar District,28.7260962668,VIOLATION,69.2903786541,2,7,RELIGIOUS PLACE,06/21/2015,Balochistan,2015-06-21 03:15:00
7815,Loti,Dera Bugti,51090.0,Assault,COMPLETED,,Panjgur District,28.9614353877,MISDEMEANOR,69.3890214387,5,3,RESIDENCE,04/28/2014,Balochistan,2014-04-28 18:45:00
7816,Alu Khan,Dera Bugti,83483.0,Assault,COMPLETED,,Gwadar District,28.5917019918,VIOLATION,68.5308580028,2,5,RESIDENCE,11/06/2014,Balochistan,2014-11-06 20:28:00
7817,Baramdi,Dera Bugti,76310.0,Theft,COMPLETED,,Panjgur District,29.3570611551,MISDEMEANOR,69.6232781107,4,5,SUPERMARKET/ STORE,06/30/2015,Balochistan,2015-06-24 10:00:00
7818,Baramdi,Dera Bugti,74588.0,Terrorism,COMPLETED,,Panjgur District,29.3588581301,MISDEMEANOR,69.6245026361,3,7,RELIGIOUS PLACE,01/02/2015,Balochistan,2015-01-02 15:44:00
7819,Gandoi Chauki,Dera Bugti,41544.0,Terrorism,COMPLETED,,Gwadar District,28.8064899685,MISDEMEANOR,69.0475454555,2,7,OTHER,04/09/2015,Balochistan,2015-03-10 15:00:00
7820,Maluk Khan,Dera Bugti,96715.0,Narcotics,COMPLETED,,Kech District,28.4783658098,MISDEMEANOR,68.607342775,3,5,STREET,09/11/2015,Balochistan,2015-09-11 11:00:00
7821,Kechi Kalat,Dera Bugti,82889.0,Terrorism,COMPLETED,,Kech District,29.2100855329,MISDEMEANOR,69.250182899,4,6,STREET,07/16/2014,Balochistan,2014-07-14 09:00:00
7822,Maluk Khan,Dera Bugti,94642.0,Assault,COMPLETED,,Kech District,28.4854085585,MISDEMEANOR,68.6218284095,4,5,SCHOOL,03/10/2014,Balochistan,2014-03-10 12:35:00
7823,Sui,Dera Bugti,78033.0,Theft,COMPLETED,,Kech District,28.6325574528,MISDEMEANOR,69.1864976567,2,5,SUPERMARKET/ STORE,07/30/2014,Balochistan,2014-07-30 17:05:00
7824,Loti,Dera Bugti,59422.0,Robbery,COMPLETED,,Panjgur District,28.9654370369,FELONY,69.3843348424,4,3,STREET,10/25/2015,Balochistan,2015-10-25 04:15:00
7825,Sui,Dera Bugti,13885.0,Assault,COMPLETED,,Kech District,28.6441475879,VIOLATION,69.1817083517,2,4,RESIDENCE,02/03/2015,Balochistan,2014-12-11 14:00:00
7826,Loti,Dera Bugti,80789.0,Theft,COMPLETED,,Panjgur District,28.9535603157,MISDEMEANOR,69.4030613727,4,3,MALL,05/07/2015,Balochistan,2015-05-07 17:09:00
7827,Bangzila,Dera Bugti,64526.0,Corruption and Bribery,COMPLETED,,Mand District,29.0825243927,FELONY,68.8833645876,5,4,RESIDENCE,12/23/2015,Balochistan,2015-12-23 18:40:00
7828,Gandoi Chauki,Dera Bugti,4402.0,Terrorism,COMPLETED,,Gwadar District,28.8108246785,MISDEMEANOR,69.0170489694,6,2,STREET,12/10/2014,Balochistan,2014-12-10 09:30:00
7829,Loti,Dera Bugti,97191.0,Assault,COMPLETED,,Panjgur District,28.9623542719,VIOLATION,69.3667402376,4,7,RESIDENCE,08/08/2015,Balochistan,2015-08-08 09:30:00
7830,Maluk Khan,Dera Bugti,60794.0,Burglary,COMPLETED,,Kech District,28.4907605794,FELONY,68.6169429738,4,5,RESIDENCE,03/05/2014,Balochistan,2014-03-05 16:42:00
7831,Baramdi,Dera Bugti,53574.0,Theft,COMPLETED,,Panjgur District,29.3412842866,MISDEMEANOR,69.6521624829,3,2,UNDERPASS,06/25/2014,Balochistan,2014-06-25 17:15:00
7832,Kechi Kalat,Dera Bugti,92398.0,Terrorism,COMPLETED,,Kech District,29.215042868,MISDEMEANOR,69.2501036142,5,6,UNDERPASS,02/28/2015,Balochistan,2015-02-28 03:00:00
7833,Bangzila,Dera Bugti,92508.0,Narcotics,COMPLETED,,Mand District,29.0764904948,MISDEMEANOR,68.8486484383,7,3,STREET,05/26/2014,Balochistan,2014-05-26 02:10:00
7834,Gandoi Chauki,Dera Bugti,96900.0,Robbery,COMPLETED,,Gwadar District,28.7962196817,FELONY,69.0335509634,3,5,STREET,02/08/2015,Balochistan,2015-02-07 21:20:00
7835,Loti,Dera Bugti,50120.0,Narcotics,COMPLETED,,Panjgur District,28.9603456607,MISDEMEANOR,69.3916313751,7,3,STREET,09/10/2014,Balochistan,2014-09-10 16:33:00
7836,Heran Chauki,Dera Bugti,2321.0,Corruption and Bribery,COMPLETED,,Gwadar District,28.713362538,VIOLATION,69.2882218947,6,7,STREET,08/07/2015,Balochistan,2015-08-07 19:25:00
7837,Loti,Dera Bugti,34763.0,Assault,COMPLETED,,Panjgur District,28.9653258863,VIOLATION,69.3759156974,6,7,RESIDENCE,12/26/2014,Balochistan,2014-12-12 12:00:00
7838," Lane 1, Lahore",Lahore ,,Narcotics,COMPLETED,4.0,District Lahore,31.51278,MISDMEANOR,74.31278,7,4,PARK/PLAYGROUND,10/27/2014,PUNJAB,10/27/2014 19:28:27
7839," Street 2, Gujranwala",Gujranwala,,Narcotics,ATTEMPTED,9.0,District Gujranwala,32.1529965,FELONY,74.1829965,2,1,HIGHWAY,4/25/2014,PUNJAB,4/25/2014 14:21:18
7840," Madar-e-Millat Road, Lahore",Lahore ,,Narcotics,ATTEMPTED,10.0,District Lahore,31.52544,MISDMEANOR,74.32544,8,10,PARK/PLAYGROUND,5/2/2011,PUNJAB,5/2/2011 19:33:58
7841," Tenki Wala Road, Ferozewala",Gujranwala,,Kidnapping,ATTEMPTED,12.0,District Gujranwala,32.1574295,FELONY,74.1874295,3,6,BRIDGE,9/23/2013,PUNJAB,9/23/2013 11:04:29
7842," Bhaghbanpura, Gujranwala",Gujranwala,,Assault,ATTEMPTED,19.0,District Gujranwala,32.156344,Invalid character class first,74.186344,1,7,RELIGIOUS PLACE,7/2/2013,PUNJAB,7/2/2013 12:17:38
7843," Gulshan-e-Ahbab, Lahore",Lahore ,,Mugging,COMPLETED,22.0,District Lahore,31.57854,MISDMEANOR,74.37854,8,4,RESIDENCE,3/19/2014,PUNJAB,3/19/2014 19:14:31
7844," Main Bazar Ali Park, Ferozewala",Gujranwala,,Corruption and Bribery,COMPLETED,25.0,District Gujranwala,32.156708,MISDMEANOR,74.186708,8,11,STREET,4/14/2012,PUNJAB,4/14/2012 9:55:19
7845," Gulbahar Block, Lahore",Lahore ,,Car stolen,COMPLETED,27.0,District Lahore,31.56588,VIOLATION,74.36588,5,2,PETROL PUMP,8/25/2011,PUNJAB,8/25/2011 17:37:22
7846," Netsol Avenue, Lahore",Lahore ,,Robbery,ATTEMPTED,28.0,District Lahore,31.53036,MISDMEANOR,74.33036,8,1,SCHOOL,7/18/2014,PUNJAB,7/18/2014 12:49:18
7847," Double Road Stop, Service Road North, Rawalpindi",Islamabad,,Narcotics,COMPLETED,29.0,District Islamabad,33.5746,VIOLATION,72.1046,4,7,PETROL PUMP,10/27/2011,PUNJAB,10/27/2011 9:54:54
7848," Mehr Wazir, Gujranwala",Gujranwala,,Corruption and Bribery,ATTEMPTED,36.0,District Gujranwala,32.152795,FELONY,74.182795,4,7,PUBLIC BUILDING,8/10/2014,PUNJAB,8/10/2014 0:20:01
7849," Service Road North (VR-30), Islamabad",Islamabad,,Kidnapping,COMPLETED,42.0,District Islamabad,33.6496,VIOLATION,72.1796,2,12,SCHOOL,6/6/2012,PUNJAB,6/6/2012 10:43:24
7850," 371 Nadeem Shaheed Rd, Lahore",Lahore ,,Assault,ATTEMPTED,44.0,District Lahore,31.54704,VIOLATION,74.34704,5,4,RESTAURANT/DINER,2/2/2012,PUNJAB,2/2/2012 4:39:25
7851," Khurram Colony, Rawalpindi",Islamabad,,Robbery,ATTEMPTED,46.0,District Islamabad,33.501,FELONY,72.031,6,10,PUBLIC BUILDING,12/17/2015,PUNJAB,12/17/2015 15:03:55
7852," Sector CC, Lahore",Lahore ,,Vandalism,ATTEMPTED,50.0,District Lahore,31.51038,VIOLATION,74.31038,10,1,HIGHWAY,5/17/2012,PUNJAB,5/17/2012 15:50:25
7853," 235 B Block, Gujranwala",Gujranwala,,Mugging,ATTEMPTED,52.0,District Gujranwala,32.157202,MISDEMEANOR,74.187202,4,1,AIRPORT,6/28/2014,PUNJAB,6/28/2014 9:41:00
7854," Ehtsham Colony, Gujranwala",Gujranwala,,Car stolen,COMPLETED,53.0,District Gujranwala,32.1505655,MISDMEANOR,74.1805655,5,8,RESIDENCE,11/7/2014,PUNJAB,11/7/2014 17:35:30
7855," Parao Road, Gujranwala",Gujranwala,,Theft,COMPLETED,54.0,District Gujranwala,32.159217,MISDMEANOR,74.189217,4,5,PETROL PUMP,4/30/2015,PUNJAB,4/30/2015 6:35:34
7856," Barkat Market Pedestrian Bridge, Barkat Market, Lahore",Lahore ,,Corruption and Bribery,ATTEMPTED,56.0,District Lahore,31.54986,FELONY,74.34986,10,7,PETROL PUMP,1/14/2012,PUNJAB,1/14/2012 7:21:24
7857," Fatomand, Gujranwala",Gujranwala,,Child Abuse,ATTEMPTED,59.0,District Gujranwala,32.1540235,VIOLATION,74.1840235,3,5,RELIGIOUS PLACE,4/23/2014,PUNJAB,4/23/2014 21:46:58
7858," Church road, Lahore",Lahore ,,Kidnapping,COMPLETED,60.0,District Lahore,31.54818,FELONY,74.34818,10,12,PUBLIC TRANSPORT,12/9/2011,PUNJAB,12/9/2011 16:04:23
7859," Imamia Colony, Ferozewala",Gujranwala,,Mugging,COMPLETED,66.0,District Gujranwala,32.153042,FELONY,74.183042,3,5,PETROL PUMP,4/18/2012,PUNJAB,4/18/2012 23:15:33
7860," Assad Colony, Gujranwala",Gujranwala,,Burglury,ATTEMPTED,67.0,District Gujranwala,32.159087,FELONY,74.189087,5,4,PUBLIC BUILDING,2/15/2013,PUNJAB,2/15/2013 17:05:03
7861," Noorani Street, Rawalpindi",Islamabad,,Theft,ATTEMPTED,68.0,District Islamabad,33.716,MISDEMEANOR,72.246,8,7,PETROL PUMP,9/30/2012,PUNJAB,9/30/2012 6:38:24
7862," Mazang Adda Bus Stop, Mozang Road, Lahore",Lahore ,,Robbery,COMPLETED,71.0,District Lahore,31.51818,VIOLATION,74.31818,9,2,RAILWAY STATION,2/14/2012,PUNJAB,2/14/2012 20:56:52
7863," Boulevar, Lahore",Lahore ,,Homicide,COMPLETED,73.0,District Lahore,31.56846,FELONY,74.36846,1,6,STREET,12/5/2014,PUNJAB,12/5/2014 15:08:31
7864," Jamia Masjid Haidri, Gujranwala",Gujranwala,,Kidnapping,COMPLETED,74.0,District Gujranwala,32.154836,FELONY,74.184836,2,1,HOSPITAL/CLINIC,11/19/2015,PUNJAB,11/19/2015 20:49:45
7865," College Road, Gujranwala",Gujranwala,,Rape,ATTEMPTED,77.0,District Gujranwala,32.1547125,VIOLATION,74.1847125,7,12,CONSTRUCTION SITE,1/24/2012,PUNJAB,1/24/2012 19:57:21
7866," NE 332/B Chaklala Road, Rawalpindi 46000",Islamabad,,Theft,ATTEMPTED,79.0,District Islamabad,33.5104,MISDEMEANOR,72.0404,9,5,OTHER,4/13/2015,PUNJAB,4/13/2015 23:38:17
7867," Lane Number 04, Rawalpindi",Islamabad,,Theft,COMPLETED,83.0,District Islamabad,33.62,MISDEMEANOR,72.15,3,5,ATM,7/15/2011,PUNJAB,7/15/2011 12:58:12
7868," XXI-11BS-21 Hafizabad Road, Gujranwala",Gujranwala,,Narcotics,ATTEMPTED,94.0,District Gujranwala,32.151664,FELONY,74.181664,4,2,FACTORY/WAREHOUSE,7/30/2015,PUNJAB,7/30/2015 3:17:51
7869," Jalaludeen Road, Gujranwala",Gujranwala,,Rape,COMPLETED,96.0,District Gujranwala,32.1581835,VIOLATION,74.1881835,2,11,RAILWAY STATION,4/3/2014,PUNJAB,4/3/2014 23:27:07
7870," 22/A Asghar Mall Road, Rawalpindi 54000",Islamabad,,Mugging,COMPLETED,100.0,District Islamabad,33.5148,VIOLATION,72.0448,7,10,PARK/PLAYGROUND,11/24/2011,PUNJAB,11/24/2011 7:19:44
7871," F-Block, Rawalpindi",Islamabad,,Narcotics,ATTEMPTED,101.0,District Islamabad,33.6476,VIOLATION,72.1776,4,9,PUBLIC TRANSPORT,3/20/2015,PUNJAB,3/20/2015 2:36:48
7872," 4 Street Number 175, Lahore",Lahore ,,Assault,ATTEMPTED,110.0,District Lahore,31.51344,MISDMEANOR,74.31344,6,8,RELIGIOUS PLACE,8/17/2013,PUNJAB,8/17/2013 7:05:57
7873," Main Bazar Rachna Town, Ferozewala",Gujranwala,,Corruption and Bribery,COMPLETED,114.0,District Gujranwala,32.15637,MISDMEANOR,74.18637,1,10,BANK,4/16/2011,PUNJAB,4/16/2011 13:38:59
7874," G.E.C.H.S. Phase 2, Lahore",Lahore ,,Car stolen,COMPLETED,116.0,District Lahore,31.57968,VIOLATION,74.37968,5,6,HOTEL/MOTEL,7/26/2015,PUNJAB,7/26/2015 10:15:06
7875," Murree Road, Islamabad",Islamabad,,Child Abuse,ATTEMPTED,118.0,District Islamabad,33.7212,FELONY,72.2512,10,9,OTHER,4/5/2012,PUNJAB,4/5/2012 5:50:59
7876," Street 5, Gujranwala",Gujranwala,,Rape,ATTEMPTED,125.0,District Gujranwala,32.1569485,VIOLATION,74.1869485,2,8,HIGHWAY,6/30/2014,PUNJAB,6/30/2014 23:32:58
7877," Atta Muhammad Road, Gujranwala",Gujranwala,,Theft,ATTEMPTED,132.0,District Gujranwala,32.1541925,MISDMEANOR,74.1841925,1,1,SUPERMARKET/STORE,2/29/2012,PUNJAB,2/29/2012 4:39:43
7878," Najaf Colony, Lahore",Lahore ,,Robbery,ATTEMPTED,133.0,District Lahore,31.50318,FELONY,74.30318,1,6,BANK,8/24/2015,PUNJAB,8/24/2015 6:37:16
7879," Canal View Main Blvd., Lahore",Lahore ,,Kidnapping,ATTEMPTED,135.0,District Lahore,31.58436,VIOLATION,74.38436,10,7,SCHOOL,6/5/2014,PUNJAB,6/5/2014 0:53:56
7880," Fortress Stadium Bus Stop, Aziz Bhatti Road, Lahore",Lahore ,,Car stolen,ATTEMPTED,142.0,District Lahore,31.51152,VIOLATION,74.31152,9,8,BANK,10/23/2015,PUNJAB,10/23/2015 23:15:16
7881," Nishtar Block, Lahore",Lahore ,,Robbery,COMPLETED,143.0,District Lahore,31.54038,VIOLATION,74.34038,3,8,RELIGIOUS PLACE,8/11/2011,PUNJAB,8/11/2011 18:09:22
7882," Rehman Colony, Gujranwala",Gujranwala,,Corruption and Bribery,COMPLETED,144.0,District Gujranwala,32.1530225,VIOLATION,74.1830225,2,12,ATM,9/23/2011,PUNJAB,9/23/2011 1:15:14
7883," 3rd Avenue, Rawalpindi",Islamabad,,Mugging,ATTEMPTED,148.0,District Islamabad,33.5192,FELONY,72.0492,7,7,PARKING LOT/GARAGE,10/29/2011,PUNJAB,10/29/2011 11:03:22
7884," Arbaz Khan 2D Car Service Bus Stop, Mangla Road, Karachi Company, Islamabad",Islamabad,,Burglary,COMPLETED,149.0,District Islamabad,33.6992,VIOLATION,72.2292,5,9,PARKING LOT/GARAGE,4/20/2014,PUNJAB,4/20/2014 10:59:52
7885," Faqir Aipee Road, Islamabad",Islamabad,,Car stolen,COMPLETED,151.0,District Islamabad,33.5178,MISDEMEANOR,72.0478,10,9,RESIDENCE,7/16/2015,PUNJAB,7/16/2015 15:04:28
7886," Main Bazar Ali Park, Ferozewala",Gujranwala,,Homicide,COMPLETED,152.0,District Gujranwala,32.157865,MISDEMEANOR,74.187865,1,7,CONSTRUCTION SITE,9/16/2015,PUNJAB,9/16/2015 8:40:14
7887," Ln 19, Rawalpindi",Islamabad,,Theft,ATTEMPTED,160.0,District Islamabad,33.6586,FELONY,72.1886,10,11,PARKING LOT/GARAGE,3/29/2013,PUNJAB,3/29/2013 15:13:33
7888," Ring Road, Rawalpindi",Islamabad,,Vandalism,ATTEMPTED,162.0,District Islamabad,33.551,MISDEMEANOR,72.081,1,11,BUS STOP,1/29/2014,PUNJAB,1/29/2014 9:34:50
7889," Azadi Chowk, Islamabad",Islamabad,,Burglary,COMPLETED,167.0,District Islamabad,33.5872,VIOLATION,72.1172,3,5,MALL,12/18/2014,PUNJAB,12/18/2014 14:40:31
7890," Street Number 5, Gujranwala",Gujranwala,,Rape,COMPLETED,168.0,District Gujranwala,32.150689,VIOLATION,74.180689,6,5,FACTORY/WAREHOUSE,3/19/2011,PUNJAB,3/19/2011 1:10:29
7891," Alla-Ud-Din Road, Lahore",Lahore ,,Child Abuse,COMPLETED,171.0,District Lahore,31.5513,MISDMEANOR,74.3513,1,10,RESIDENCE,4/20/2011,PUNJAB,4/20/2011 20:06:32
7892," Main Boulevard Saif Town Road, Lahore",Lahore ,,Rape,ATTEMPTED,172.0,District Lahore,31.58898,VIOLATION,74.38898,7,6,RELIGIOUS PLACE,11/3/2014,PUNJAB,11/3/2014 19:49:39
7893," G-11/4, Islamabad",Islamabad,,Car stolen,ATTEMPTED,174.0,District Islamabad,33.6922,MISDEMEANOR,72.2222,10,10,PUBLIC BUILDING,5/26/2014,PUNJAB,5/26/2014 12:15:13
7894," 269 A Rana Rashid Road, Lahore",Lahore ,,Assault,COMPLETED,175.0,District Lahore,31.5414,VIOLATION,74.3414,7,7,BUS STOP,11/26/2014,PUNJAB,11/26/2014 16:10:28
7895, Gujranwala,Gujranwala,,Assault,COMPLETED,177.0,District Gujranwala,32.1548165,Invalid character class first,74.1848165,3,12,GYM/FITNESS FACILITY,8/19/2014,PUNJAB,8/19/2014 7:08:35
7896," Noorpur, Gujranwala",Gujranwala,,Rape,COMPLETED,181.0,District Gujranwala,32.154966,VIOLATION,74.184966,3,1,GYM/FITNESS FACILITY,2/11/2014,PUNJAB,2/11/2014 2:36:39
7897," Kohistan Road, Islamabad",Islamabad,,Child Abuse,COMPLETED,185.0,District Islamabad,33.6734,MISDEMEANOR,72.2034,5,7,AIRPORT,10/25/2015,PUNJAB,10/25/2015 17:07:54
7898," 1055 Ravi Block Fazl-e-Haq Road, Lahore",Lahore ,,Assault,COMPLETED,193.0,District Lahore,31.5258,FELONY,74.3258,2,11,FACTORY/WAREHOUSE,3/21/2011,PUNJAB,3/21/2011 5:54:27
7899," 308-1-d2 Green Town, Lahore",Lahore ,,Assault,COMPLETED,200.0,District Lahore,31.5336,VIOLATION,74.3336,4,3,SCHOOL,6/4/2013,PUNJAB,6/4/2013 15:16:59
7900," N5, Ferozewala",Gujranwala,,Assault,COMPLETED,205.0,District Gujranwala,32.1573515,Invalid character class first,74.1873515,3,5,RELIGIOUS PLACE,1/18/2014,PUNJAB,1/18/2014 1:19:25
7901," Honda Morr, Maulana Shaukat Ali Road, Lahore",Lahore ,,Mugging,COMPLETED,206.0,District Lahore,31.5792,VIOLATION,74.3792,9,4,CONSTRUCTION SITE,4/8/2013,PUNJAB,4/8/2013 2:09:00
7902," Gobandgarh, Gujranwala",Gujranwala,,Robbery,COMPLETED,207.0,District Gujranwala,32.154251,VIOLATION,74.184251,7,4,STREET,5/29/2015,PUNJAB,5/29/2015 1:42:37
7903," Bhatta Road, Islamabad",Islamabad,,Burglary,ATTEMPTED,210.0,District Islamabad,33.6958,VIOLATION,72.2258,1,12,RESIDENCE,10/31/2013,PUNJAB,10/31/2013 23:49:43
7904," Peoples Colony, Ferozewala",Gujranwala,,Rape,COMPLETED,219.0,District Gujranwala,32.1520735,VIOLATION,74.1820735,3,9,STREET,2/14/2013,PUNJAB,2/14/2013 19:12:58
7905," Kaghan Road, Islamabad",Islamabad,,Child Abuse,ATTEMPTED,223.0,District Islamabad,33.6446,FELONY,72.1746,4,4,CONSTRUCTION SITE,9/25/2011,PUNJAB,9/25/2011 6:43:58
7906,"2 Jinnah Road, Gujranwala 0553",Gujranwala,,Theft,COMPLETED,229.0,District Gujranwala,32.153549,MISDMEANOR,74.183549,8,12,RESIDENCE,6/8/2012,PUNJAB,6/8/2012 14:25:01
7907," Iftikhar Colony, Gujranwala",Gujranwala,,Theft,ATTEMPTED,232.0,District Gujranwala,32.15286,FELONY,74.18286,2,3,PARKING LOT/GARAGE,10/4/2012,PUNJAB,10/4/2012 1:19:48
7908," I-9/1, Islamabad",Islamabad,,Child Abuse,ATTEMPTED,233.0,District Islamabad,33.5424,VIOLATION,72.0724,7,9,RAILWAY STATION,10/28/2013,PUNJAB,10/28/2013 9:17:02
7909," LaLa G Road, Islamabad",Islamabad,,Child Abuse,ATTEMPTED,234.0,District Islamabad,33.538,MISDEMEANOR,72.068,9,5,CONSTRUCTION SITE,9/14/2015,PUNJAB,9/14/2015 6:25:31
7910," Block P, Lahore",Lahore ,,Homicide,ATTEMPTED,235.0,District Lahore,31.55952,MISDMEANOR,74.35952,10,9,BUS STOP,7/6/2012,PUNJAB,7/6/2012 22:34:59
7911," Benazir Bhutto Road, Rawalpindi",Islamabad,,Narcotics,ATTEMPTED,236.0,District Islamabad,33.7178,VIOLATION,72.2478,6,1,ATM,10/13/2012,PUNJAB,10/13/2012 11:06:40
7912," J 3 Block, Lahore",Lahore ,,Mugging,ATTEMPTED,238.0,District Lahore,31.55124,FELONY,74.35124,8,7,BRIDGE,1/1/2014,PUNJAB,1/1/2014 21:38:55
7913," Chah Miran, Lahore",Lahore ,,Kidnapping,COMPLETED,241.0,District Lahore,31.52046,FELONY,74.32046,1,12,RELIGIOUS PLACE,5/22/2015,PUNJAB,5/22/2015 4:20:34
7914," College Road, Gujranwala",Gujranwala,,Mugging,ATTEMPTED,245.0,District Gujranwala,32.158619,VIOLATION,74.188619,1,3,PETROL PUMP,8/18/2013,PUNJAB,8/18/2013 23:55:50
7915," Paragon City, Lahore",Lahore ,,Theft,COMPLETED,250.0,District Lahore,31.56192,MISDMEANOR,74.36192,5,1,PUBLIC TRANSPORT,6/14/2011,PUNJAB,6/14/2011 3:23:37
7916," Ch. Abdul Aziz Road, Lahore",Lahore ,,Kidnapping,ATTEMPTED,251.0,District Lahore,31.51596,VIOLATION,74.31596,2,7,PARK/PLAYGROUND,1/31/2012,PUNJAB,1/31/2012 7:06:26
7917," Kot Lakhpat, Lahore",Lahore ,,Narcotics,COMPLETED,253.0,District Lahore,31.57668,VIOLATION,74.37668,5,7,HOSPITAL/CLINIC,3/20/2011,PUNJAB,3/20/2011 14:49:17
7918," Ravi Road, Lahore",Lahore ,,Theft,ATTEMPTED,254.0,District Lahore,31.5132,FELONY,74.3132,9,10,AIRPORT,11/26/2012,PUNJAB,11/26/2012 10:40:34
7919," 252 Street 7, Rawalpindi",Islamabad,,Mugging,ATTEMPTED,257.0,District Islamabad,33.5742,VIOLATION,72.1042,10,1,SCHOOL,4/7/2014,PUNJAB,4/7/2014 15:21:25
7920," Bari Imam Adda, Khayaban-e-Suhrwardy, Islamabad 44000",Islamabad,,Burglary,ATTEMPTED,258.0,District Islamabad,33.6006,VIOLATION,72.1306,2,7,PARKING LOT/GARAGE,9/3/2013,PUNJAB,9/3/2013 22:25:07
7921," Chah Habib, Gujranwala",Gujranwala,,Narcotics,COMPLETED,259.0,District Gujranwala,32.15676,FELONY,74.18676,8,1,BANK,3/30/2015,PUNJAB,3/30/2015 3:23:55
7922," Abid Colony, Gujranwala",Gujranwala,,Narcotics,ATTEMPTED,262.0,District Gujranwala,32.1583005,VIOLATION,74.1883005,3,9,PUBLIC BUILDING,10/3/2015,PUNJAB,10/3/2015 18:45:36
7923," Gill Road, Gujranwala",Gujranwala,,Homicide,COMPLETED,263.0,District Gujranwala,32.154537,VIOLATION,74.184537,7,5,GYM/FITNESS FACILITY,12/11/2012,PUNJAB,12/11/2012 14:06:37
7924," 7-1-C-1 College Road, Lahore",Lahore ,,Assault,COMPLETED,264.0,District Lahore,31.56924,VIOLATION,74.36924,2,2,SCHOOL,1/1/2011,PUNJAB,1/1/2011 12:20:38
7925," Amarkot, Lahore",Lahore ,,Child Abuse,COMPLETED,267.0,District Lahore,31.50576,VIOLATION,74.30576,3,3,HIGHWAY,10/28/2011,PUNJAB,10/28/2011 14:41:05
7926," Kacheri Rd, Gujranwala",Gujranwala,,Car stolen,COMPLETED,268.0,District Gujranwala,32.152223,MISDMEANOR,74.182223,5,9,BUS STOP,12/2/2015,PUNJAB,12/2/2015 3:18:59
7927," F-10, Islamabad",Islamabad,,Car stolen,ATTEMPTED,269.0,District Islamabad,33.6432,VIOLATION,72.1732,6,5,PUBLIC BUILDING,2/5/2012,PUNJAB,2/5/2012 4:50:36
7928," NESPAK Phase 2 Site 1, Lahore",Lahore ,,Robbery,COMPLETED,271.0,District Lahore,31.52124,VIOLATION,74.32124,3,7,MALL,9/30/2014,PUNJAB,9/30/2014 1:53:24
7929," Over Head Bridge, Gujranwala",Gujranwala,,Corruption and Bribery,COMPLETED,272.0,District Gujranwala,32.1586645,MISDMEANOR,74.1886645,2,5,GYM/FITNESS FACILITY,2/17/2014,PUNJAB,2/17/2014 9:48:04
7930," Qazi Town, Gujranwala",Gujranwala,,Child Abuse,ATTEMPTED,273.0,District Gujranwala,32.158047,FELONY,74.188047,8,9,RESTAURANT/DINER,5/16/2012,PUNJAB,5/16/2012 19:13:20
7931," Model Town Square, Gujranwala",Gujranwala,,Mugging,ATTEMPTED,277.0,District Gujranwala,32.1580795,VIOLATION,74.1880795,9,10,SCHOOL,10/13/2012,PUNJAB,10/13/2012 7:35:13
7932," Khan Colony, Lahore",Lahore ,,Narcotics,ATTEMPTED,281.0,District Lahore,31.54326,FELONY,74.34326,8,9,RESTAURANT/DINER,12/13/2012,PUNJAB,12/13/2012 14:27:53
7933," Civil Lines, Rawalpindi",Islamabad,,Narcotics,COMPLETED,282.0,District Islamabad,33.5158,FELONY,72.0458,4,4,PUBLIC BUILDING,9/12/2013,PUNJAB,9/12/2013 22:56:44
7934," Block J1, Lahore",Lahore ,,Homicide,ATTEMPTED,284.0,District Lahore,31.54422,FELONY,74.34422,6,2,ATM,11/11/2013,PUNJAB,11/11/2013 22:08:22
7935," Mustafa Colony, Gujranwala",Gujranwala,,Vandalism,ATTEMPTED,285.0,District Gujranwala,32.1559995,MISDEMEANOR,74.1859995,10,1,SCHOOL,1/4/2011,PUNJAB,1/4/2011 21:50:10
